...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ရာဇဝတ်အိုး	ရာ ဇ ဝတ် အိုး	ja za- wu' ou:
ရာဇသတ်	ရာ ဇ သတ်	ja za- dha'
ရာဇသံ	ရာ ဇ သံ	ja za- dhan
ရာဇာ	ရာ ဇာ	ja za
ရာဇိန္ဒြေ	ရာ ဇိန် ဒြေ	ja zein da-
ရာဇူ	ရာ ဇူ	ja zu
ရာဇူဒိုင်	ရာ ဇူ ဒိုင်	ja zu dain
ရာတန်စေ့	ရာ တန် စေ့	ja dan zei.
ရာတွင်	ရာ တွင်	ja dwin
ရာတွင်း	ရာ တွင်း	ja- dwin:
ရာထူး	ရာ ထူး	ja du:
ရာထူးချ	ရာ ထူး ချ	ja du: cha.
ရာထူးတိုး	ရာ ထူး တိုး	ja du: tou:
ရာထူးပြုတ်	ရာ ထူး ပြုတ်	ja du: pjou'
ရာထူးလျှော	ရာ ထူး လျှော	ja du: sho:
ရာနှုန်း	ရာ နှုန်း	ja nhoun:
ရာနှုန်းပြည့်	ရာ နှုန်း ပြည့်	ja nhoun: bjei.
ရာပုံထိုး	ရာ ပုံ ထိုး	ja boun htou:
ရာပြည့်အိုင်	ရာ ပြည့် အိုင်	ja bji. ain
ရာပြတ်	ရာ ပြတ်	ja bja'
ရာပြတ်	ရာ ပြတ်	ja pja'
ရာဘက်ရုံး	ရာ ဘက် ရုံး	ja be' joun:
ရာဘာ	ရာ ဘာ	ra ba
ရာရာသသ	ရာ ရာ သ သ	ja ja tha. dha.
ရာရေ	ရာ ရေ	ja jei
ရာရှင်	ရာ ရှင်	ra shin
ရာရှင်စနစ်	ရာ ရှင် စ နစ်	ra shin sa- ni'
ရာဝင်အိုး	ရာ ဝင် အိုး	ja wi nou:
ရာသက်ပန်	ရာ သက် ပန်	ja the' pan
ရာသီ	ရာ သီ	ja dhi
ရာသီကုန်	ရာ သီ ကုန်	ja dhi goun
ရာသီခွင်	ရာ သီ ခွင်	ja dhi gwin
ရာသီစက်	ရာ သီ စက်	ja dhi se'
ရာသီစာ	ရာ သီ စာ	ja dhi za
ရာသီပင်	ရာ သီ ပင်	ja dhi bin
ရာသီပန်း	ရာ သီ ပန်း	ja dhi ban:
ရာသီပွဲ	ရာ သီ ပွဲ	ja dhi bwe:
ရာသီရုပ်	ရာ သီ ရုပ်	ja dhi jou'
ရာသီလေ	ရာ သီ လေ	ja dhi lei
ရာသီဥတု	ရာ သီ ဥ တု	ja dhi u. du.
ရာဟု	ရာ ဟု	ja hu.
ရာဟုထောင့်	ရာ ဟု ထောင့်	ja hu. daun.
ရာဟုဖမ်း	ရာ ဟု ဖမ်း	ja hu. hpan:
ရာ၌	ရာ ၌	ja hnai'
ရိနာ	ရိ နာ	ji. na
ရိပွပ်	ရိ ပွပ်	ji. pu'
ရိရွဲ	ရိ ရွဲ	ji. jwe:
ရိရှား	ရိ ရှား	ji. sha:
ရိသဲ့သဲ့	ရိ သဲ့ သဲ့	ji. the. dhe.
ရိက္ခာ	ရိက် ခာ	je' kha
ရိက္ခာတော်ရ	ရိက် ခာ တော် ရ	jei' kha do ja.
ရိတ္တာတိထီ	ရိတ် တာ တိ ထီ	rei' ta ti. hti
ရိတ်သိမ်း	ရိတ် သိမ်း	jei' thein:
ရိပ်ကာသီကာ	ရိပ် ကာ သီ ကာ	jei' kha thi ga
ရိပ်ခနဲ	ရိပ် ခ နဲ	jei' kha- ne:
ရိပ်စားမိ	ရိပ် စား မိ	jei' sa: mi.
ရိပ်ဖမ်းသံဖမ်း	ရိပ် ဖမ်း သံ ဖမ်း	jei' hpan: than ban:
ရိပ်မိ	ရိပ် မိ	jei' mi.
ရိပ်မြုံ	ရိပ် မြုံ	jei' mjoun
ရိပ်ရိပ်	ရိပ် ရိပ်	jei' jei'
ရိပ်ရိပ်ရိပ်ရိပ်	ရိပ် ရိပ် ရိပ် ရိပ်	jei' jei' jei' jei'
ရိပ်ရိပ်လှီး	ရိပ် ရိပ် လှီး	jei' jei' lhi:
ရိပ်သာ	ရိပ် သာ	jei' tha
ရိပ်သာပင်	ရိပ် သာ ပင်	jei' tha bin
ရိုကျိုး	ရို ကျိုး	jou kyou:
ရိုညွတ်	ရို ညွတ်	jou nju'
ရိုမင်ကတ်သလစ်	ရို မင် ကတ် သ လစ်	rou min ke' tha- li'
ရိုသေ	ရို သေ	jou thei
ရိုသေကိုင်းညွတ်	ရို သေ ကိုင်း ညွတ်	jou thei kain: nju'
ရိုသေကိုင်းရှိုင်း	ရို သေ ကိုင်း ရှိုင်း	jou thei kain: shain:
ရိုသေလေးမြတ်	ရို သေ လေး မြတ်	jou thei lei: mja'
ရိုက်ကူး	ရိုက် ကူး	jai' ku:
ရိုက်ကြည်း	ရိုက် ကြည်း	jai' kyi:
ရိုက်ကြူး	ရိုက် ကြူး	jai' kyu:
ရိုက်ကွင်း	ရိုက် ကွင်း	jai' kwin:
ရိုက်ခတ်	ရိုက် ခတ်	jai' kha'
ရိုက်ချက်	ရိုက် ချက်	jai' che'
ရိုက်ခြောင်း	ရိုက် ခြောင်း	jai' chaun:
ရိုက်ညောင်း	ရိုက် ညောင်း	jai' njaun:
ရိုက်နှိပ်	ရိုက် နှိပ်	jai' nhei'
ရိုက်ပုတ်	ရိုက် ပုတ်	jai' pou'
ရိုက်မောင်းပုတ်မောင်း	ရိုက် မောင်း ပုတ် မောင်း	jai' maun: pou' maun:
ရိုက်ရာ	ရိုက် ရာ	jai' ja
ရိုင်ပတ်	ရိုင် ပတ်	jain ba'
ရိုင်ဖယ်	ရိုင် ဖယ်	rain hpe
ရိုင်ဖျာ	ရိုင် ဖျာ	jain hpja
ရိုင်ရိုင်	ရိုင် ရိုင်	jain jain
ရိုင်းစိုင်း	ရိုင်း စိုင်း	jain: zain:
ရိုင်းပင်း	ရိုင်း ပင်း	jain: bin:
ရိုင်းပျ	ရိုင်း ပျ	jain: pja.
ရိုင်းပျံ့	ရိုင်း ပျံ့	jain: pjan.
ရို့ရို့	ရို့ ရို့	jou. jou.
ရိုးကျပင်	ရိုး ကျ ပင်	jou: gya. bin
ရိုးဆက်	ရိုး ဆက်	jou: ze'
ရိုးဆစ်	ရိုး ဆစ်	jou: hsi'
ရိုးတာ	ရိုး တာ	jou: ta
ရိုးတိုးရိပ်တိပ်	ရိုး တိုး ရိပ် တိပ်	jou: dou: jei' tei'
ရိုးတိုးရွတဖြစ်	ရိုး တိုး ရွ တ ဖြစ်	jou: dou: jwa. ta. hpji'
ရိုးတံ	ရိုး တံ	jou: dan
ရိုးတွင်းခြင်ဆီ	ရိုး တွင်း ခြင် ဆီ	jou: dwin: chin zi
ရိုးပုံရိုးလက်	ရိုး ပုံ ရိုး လက်	jou: boun jou: le'
ရိုးပြတ်	ရိုး ပြတ်	jou: bja'
ရိုးဖြောင့်	ရိုး ဖြောင့်	jou: hpjaun.
ရိုးမ	ရိုး မ	jou: ma.
ရိုးမြေကျ	ရိုး မြေ ကျ	jou: mjei gya.
ရိုးရင်း	ရိုး ရင်း	jou: jin:
ရိုးရာ	ရိုး ရာ	jou: ja
ရိုးရာလိုက်	ရိုး ရာ လိုက်	jou: ja lai'
ရိုးရာသမား	ရိုး ရာ သ မား	jou: ja dha- ma:
ရိုးရာအမည်	ရိုး ရာ အ မည်	jou: ja a- mji
ရိုးရိုး	ရိုး ရိုး	jou: jou:
ရိုးရိုးကုပ်ကုပ်	ရိုး ရိုး ကုပ် ကုပ်	jou: jou: kou' kou'
ရိုးရိုးတန်း	ရိုး ရိုး တန်း	jou: jou: dan:
ရိုးရိုးတန်းတန်း	ရိုး ရိုး တန်း တန်း	jou: jou: tan: dan:
ရိုးရိုးမှတ်မှတ်	ရိုး ရိုး မှတ် မှတ်	jou: jou: mha' mha'
ရိုးရိုးရဲရဲ	ရိုး ရိုး ရဲ ရဲ	jou: jou: je: je:
ရိုးရိုးရွရွဖြစ်	ရိုး ရိုး ရွ ရွ ဖြစ်	jou: jou: jwa. jwa. hpji'
ရိုးလား	ရိုး လား	jou: la:
ရိုးသား	ရိုး သား	jou: tha:
ရိုးအ	ရိုး အ	jou: a.
ရီကော်ဒါ	ရီ ကော် ဒါ	ra- ko da
ရီတရော	ရီ တ ရော	ji da- jo:
ရီဝေ	ရီ ဝေ	ji wei
ရုရု	ရု ရု	ju. ju.
ရုက္ခစိုး	ရုက် ခ စိုး	jou' ga- zou:
ရုက္ခဗေဒ	ရုက် ခ ဗေ ဒ	jou' kha. bei da.
ရုက္ခဗေဒဥယျာဉ်	ရုက် ခ ဗေ ဒ ဥ ယျာဉ်	jou' kha. bei da. u. jin
ရုက္ခမူဆား	ရုက် ခ မူ ဆား	jou' kha- mu hsa:
ရုတ်ခနဲ	ရုတ် ခ နဲ	jou' kha- ne:
ရုတ်ခြည်း	ရုတ် ခြည်း	jou' chi:
ရုတ်တရက်	ရုတ် တ ရက်	jou' ta- je'
ရုတ်ရုတ်ရက်ရက်	ရုတ် ရုတ် ရက် ရက်	jou' jou' je' je'
ရုတ်ရုတ်ရုတ်ရုတ်	ရုတ် ရုတ် ရုတ် ရုတ်	jou' jou' jou' jou'
ရုတ်ရုတ်ရုတ်ရုတ်လုပ်	ရုတ် ရုတ် ရုတ် ရုတ် လုပ်	jou' jou' jou' jou' lou'
ရုတ်ရုတ်သဲသဲ	ရုတ် ရုတ် သဲ သဲ	jou' jou' the: dhe:
ရုဒ္ဒရသ	ရုဒ် ဒ ရ သ	rou' da. ja. tha.
ရုန့်ကြမ်း	ရုန့် ကြမ်း	joun. kyan:
ရုန့်ရင်း	ရုန့် ရင်း	joun. jin:
ရုန့်ရင်းကြမ်းတမ်း	ရုန့် ရင်း ကြမ်း တမ်း	joun. jin: kyan: dan:
ရုန်းကန်	ရုန်း ကန်	joun: kan
ရုန်းရင်းဆန်ခတ်	ရုန်း ရင်း ဆန် ခတ်	joun: jin: hsa nga'
ရုန်းရုန်းရုန်းရုန်း	ရုန်း ရုန်း ရုန်း ရုန်း	joun: joun: joun: joun:
ရုပ်ကလာပ်	ရုပ် က လာပ်	jou' ka- la'
ရုပ်ကျ	ရုပ် ကျ	jou' kya
ရုပ်ကြီးစင်	ရုပ် ကြီး စင်	jou' kyi: zin
ရုပ်ကြွ	ရုပ် ကြွ	jou' kywa.
ရုပ်ကြွင်း	ရုပ် ကြွင်း	jou' kywin:
ရုပ်ချော	ရုပ် ချော	jou' cho:
ရုပ်စုံကန့်လန့်ကာ	ရုပ် စုံ ကန့် လန့် ကာ	jou' soun ka- la- ga.
ရုပ်စုံစင်	ရုပ် စုံ စင်	jou' soun sin
ရုပ်စုံမှန်ပြောင်း	ရုပ် စုံ မှန် ပြောင်း	jou' soun mhan bjaun:
ရုပ်စုံသေတ္တာ	ရုပ် စုံ သေတ် တာ	jou' soun thi' ta
ရုပ်ဆင်း	ရုပ် ဆင်း	jou' hsin.
ရုပ်ဆင်းသဏ္ဌာန်	ရုပ် ဆင်း သဏ် ဌာန်	jou' hsin. dha- dan
ရုပ်ဆောင်	ရုပ် ဆောင်	jou' hsaun
ရုပ်တင်	ရုပ် တင်	jou' tin
ရုပ်တု	ရုပ် တု	jou' tu.
ရုပ်တွက်	ရုပ် တွက်	jou' twe'
ရုပ်ပိုင်း	ရုပ် ပိုင်း	jou' pain:
ရုပ်ပုံ	ရုပ် ပုံ	jou' poun
ရုပ်ပုံစာ	ရုပ် ပုံ စာ	jou' poun za
ရုပ်ပျက်	ရုပ် ပျက်	jou' pje'
ရုပ်ပျက်ဆင်းပျက်	ရုပ် ပျက် ဆင်း ပျက်	jou' pje' hsin bje'
ရုပ်ပြ	ရုပ် ပြ	jou' pja.
ရုပ်ပြောင်	ရုပ် ပြောင်	jou' pjaun
ရုပ်ပြောင်း	ရုပ် ပြောင်း	jou' pjaun:
ရုပ်ပြောင်းရုပ်လွှဲ	ရုပ် ပြောင်း ရုပ် လွှဲ	jou' pjaun: jou' lhwe:
ရုပ်ပွားတော်	ရုပ် ပွား တော်	jou' pwa: do.
ရုပ်ဖမ်း	ရုပ် ဖမ်း	jou' hpan:
ရုပ်ဖျက်	ရုပ် ဖျက်	jou' hpje'
ရုပ်ဖျောက်	ရုပ် ဖျောက်	jou' hpjau'
ရုပ်ဖြောင့်	ရုပ် ဖြောင့်	jou' hpjaun.
ရုပ်မြင်သံကြား	ရုပ် မြင် သံ ကြား	jou' mjin than gya:
ရုပ်ရည်	ရုပ် ရည်	jou' ji
ရုပ်ရှင်	ရုပ် ရှင်	jou' shin
ရုပ်ရှင်ဇာတ်ညွှန်း	ရုပ် ရှင် ဇာတ် ညွှန်း	jou' shin za' njhun:
ရုပ်ရှင်ပညာ	ရုပ် ရှင် ပ ညာ	jou' shin pjin nja
ရုပ်ရှင်မင်းသမီး	ရုပ် ရှင် မင်း သ မီး	jou' shin min: dha- mi:
ရုပ်ရှင်မင်းသား	ရုပ် ရှင် မင်း သား	jou' shin min: dha:
ရုပ်ရှင်သရုပ်ဆောင်	ရုပ် ရှင် သ ရုပ် ဆောင်	jou' shin tha- jou' hsaun
ရုပ်ရှိ	ရုပ် ရှိ	jou' shi.
ရုပ်လုံး	ရုပ် လုံး	jou' loun:
ရုပ်လုံးပေါ်	ရုပ် လုံး ပေါ်	jou' loun: po
ရုပ်လုံးဖော်	ရုပ် လုံး ဖော်	jou' loun: hpo
ရုပ်လုံးသွင်းပညာ	ရုပ် လုံး သွင်း ပ ညာ	jou' loun: thwin: pjin nja
ရုပ်လောက	ရုပ် လော က	jou' lo: ka.
ရုပ်ဝထ္ထု	ရုပ် ဝထ် ထု	jou' wu' htu.
ရုပ်ဝါဒ	ရုပ် ဝါ ဒ	jou' wa da.
ရုပ်ဝါဒီ	ရုပ် ဝါ ဒီ	jou' wa di
ရုပ်သိမ်း	ရုပ် သိမ်း	jou' thein:
ရုပ်သေ	ရုပ် သေ	jou' thei
ရုပ်သေး	ရုပ် သေး	jou' thei:
ရုပ်သေးကြိုးပြတ်	ရုပ် သေး ကြိုး ပြတ်	jou' thei: kyou: pja'
ရုပ်သေးရုပ်	ရုပ် သေး ရုပ်	jou' thei: jou'
ရုပ်သေးအစိုးရ	ရုပ် သေး အ စိုး ရ	jou' thei: a- sou: ja.
ရုံခါ	ရုံ ခါ	joun kha
ရုံဂိုဏ်း	ရုံ ဂိုဏ်း	joun gain:
ရုံတင်	ရုံ တင်	joun tin
ရုံပိုင်	ရုံ ပိုင်	joun bain
ရုံပွဲ	ရုံ ပွဲ	joun bwe:
ရုံဖွင့်	ရုံ ဖွင့်	joun hpwin.
ရုံမက	ရုံ မ က	joun ma- ka.
ရုံဝင်	ရုံ ဝင်	joun win
ရုံဝင်ခ	ရုံ ဝင် ခ	joun win ga.
ရုံသွင်း	ရုံ သွင်း	joun thwin:
ရုံးချိန်း	ရုံး ချိန်း	joun: gyein:
ရုံးခွန်	ရုံး ခွန်	joun: gun
ရုံးစိုက်	ရုံး စိုက်	joun: sai'
ရုံးတက်	ရုံး တက်	joun: te'
ရုံးတက်ရုံးဆင်းပြစ်ဒဏ်	ရုံး တက် ရုံး ဆင်း ပြစ် ဒဏ်	joun: de' joun: hsin: pji' dan
ရုံးတင်	ရုံး တင်	joun: tin
ရုံးတံဆိပ်	ရုံး တံ ဆိပ်	joun: da- zei'
ရုံးတွင်းစာ	ရုံး တွင်း စာ	joun: dwin: sa
ရုံးထိုင်	ရုံး ထိုင်	joun: htain
ရုံးပတီ	ရုံး ပ တီ	joun: ba- di
ရုံးပိတ်ရက်	ရုံး ပိတ် ရက်	joun: pei' je'
ရုံးပြင်ကနား	ရုံး ပြင် က နား	joun: bjin ka- na:
ရုံးပြင်ကနားရောက်	ရုံး ပြင် က နား ရောက်	joun: bjin ka- na: jau'
ရုံးမင်းတစ်ထိုင်	ရုံး မင်း တစ် ထိုင်	joun: min: ta- htain
ရုံးလက်ခံ	ရုံး လက် ခံ	joun: le' khan
ရုံးသုံး	ရုံး သုံး	joun: dhoun:
ရုံးသုံးဘာသာ	ရုံး သုံး ဘာ သာ	joun: dhoun: ba dha
ရုံးသုံးဝေါဟာရ	ရုံး သုံး ဝေါ ဟာ ရ	joun: dhoun: wo: ha ra.
ရူတ	ရူ တ	ju ta.
ရူပ	ရူ ပ	ju pa.
ရူပကအလင်္ကာ	ရူ ပ က အ လင် ကာ	ju pa- ka. a- lin ga
ရူပကာ	ရူ ပ ကာ	ju pa- ka
ရူပနိကာယ်	ရူ ပ နိ ကာယ်	ju pa. ni. ke
ရူပဗေဒ	ရူ ပ ဗေ ဒ	ju pa. bei da.
ရူပဘုံ	ရူ ပ ဘုံ	ju pa. boun
ရူပက္ခန္ဓာ	ရူ ပက် ခန် ဓာ	ru pe' khan da
ရူပါရုံ	ရူ ပါ ရုံ	ju pa joun
ရူပီး	ရူ ပီး	ru pi:
ရူဘယ်	ရူ ဘယ်	ru be
ရူဠှီ	ရူ ဠှီ	roun lhi
ရူးကြောင်ကြောင်	ရူး ကြောင် ကြောင်	ju: kyaun gyaun
ရူးနှမ်းနှမ်း	ရူး နှမ်း နှမ်း	ju: nhan: nhan:
ရူးပေါပေါ	ရူး ပေါ ပေါ	ju: po: bo:
ရူးရူးမိုက်မိုက်	ရူး ရူး မိုက် မိုက်	ju: ju: mai' mai'
ရူးရူးမူးမူး	ရူး ရူး မူး မူး	ju: ju: mu: mu:
ရူးသွပ်	ရူး သွပ်	ju: thu'
ရေကစား	ရေ က စား	jei ga- za:
ရေကတော့	ရေ က တော့	jei ga- do.
ရေကန်	ရေ ကန်	jei gan
ရေကာတာ	ရေ ကာ တာ	jei ga da
ရေကိုင်	ရေ ကိုင်	jei kain
ရေကုန်	ရေ ကုန်	jei goun
ရေကုန်ရေခန်း	ရေ ကုန် ရေ ခန်း	jei goun jei gan:
ရေကုန်လိုက်	ရေ ကုန် လိုက်	jei goun lai'
ရေကူး	ရေ ကူး	jei ku:
ရေကူးကန်	ရေ ကူး ကန်	jei ku: gan
ရေကူးညာတင်	ရေ ကူး ညာ တင်	jei gu: nja din
ရေကျ	ရေ ကျ	jei gya.
ရေကျ	ရေ ကျ	jei kya.
ရေကျက်အေး	ရေ ကျက် အေး	jei gye' ei:
ရေကျိုငါးပိ	ရေ ကျို ငါး ပိ	jei gyou nga- pi.
ရေကျောက်	ရေ ကျောက်	jei gyau'
ရေကျော်	ရေ ကျော်	jei gyo
ရေကြက်	ရေ ကြက်	jei gye'
ရေကြည်ရာမြက်နုရာ	ရေ ကြည် ရာ မြက် နု ရာ	jei kyi ja mje' nu. ja
ရေကြီး	ရေ ကြီး	jei kyi:
ရေကြော	ရေ ကြော	jei gyo
ရေကြောမြေကြောလိုက်	ရေ ကြော မြေ ကြော လိုက်	jei gyo: mjei gyo: lai'
ရေကြောင်း	ရေ ကြောင်း	jei gyaun:
ရေကြောင်းပြ	ရေ ကြောင်း ပြ	jei gyaun: bja.
ရေကြံ့	ရေ ကြံ့	jei gyan.
ရေခမိုး	ရေ ခ မိုး	jei kha- mou:
ရေခမိုးတင်	ရေ ခ မိုး တင်	jei kha- mou: din
ရေခအုံး	ရေ ခ အုံး	jei kha- oun:
ရေခန်းချက်	ရေ ခန်း ချက်	jei gan: che'
ရေခိုးရေငွေ့	ရေ ခိုး ရေ ငွေ့	jei gou: jein gwei.
ရေခဲ	ရေ ခဲ	jei ge:
ရေခဲချောင်း	ရေ ခဲ ချောင်း	jei ge: gyaun:
ရေခဲခြစ်	ရေ ခဲ ခြစ်	jei ge: gyi'
ရေခဲတိုက်	ရေ ခဲ တိုက်	jei ge: di'
ရေခဲတောင်	ရေ ခဲ တောင်	jei ge: daun
ရေခဲပေါက်စီ	ရေ ခဲ ပေါက် စီ	jei ge: pau' si
ရေခဲဘူး	ရေ ခဲ ဘူး	jei ge: bu
ရေခဲမုန့်	ရေ ခဲ မုန့်	jei ge: moun.
ရေခဲမြစ်	ရေ ခဲ မြစ်	jei ge: mji'
ရေခဲမှတ်	ရေ ခဲ မှတ်	jei ge: mha'
ရေခဲသုပ်	ရေ ခဲ သုပ်	jei ge: dhou'
ရေခဲသေတ္တာ	ရေ ခဲ သေတ် တာ	jei ge: thi' ta
ရေခဲအိတ်	ရေ ခဲ အိတ်	jei ge: ei'
ရေခံထည်	ရေ ခံ ထည်	jei gan de
ရေခံထွက်	ရေ ခံ ထွက်	jei gan htwe'
ရေခံပုဆိုး	ရေ ခံ ပု ဆိုး	jei gan pa- hsou:
ရေချ	ရေ ချ	jei cha.
ရေချင်းယား	ရေ ချင်း ယား	jei chin: ja:
ရေချမ်း	ရေ ချမ်း	jei gyan:
ရေချမ်းစင်	ရေ ချမ်း စင်	jei gyan: zin
ရေချမ်းအိုး	ရေ ချမ်း အိုး	jei gyan: ou:
ရေချိန်	ရေ ချိန်	jei gyein
ရေချိန်ကိုက်	ရေ ချိန် ကိုက်	jei gyein kai'
ရေချို	ရေ ချို	jei gyou
ရေချိုကုန်	ရေ ချို ကုန်	jei gyou koun
ရေချိုင့်	ရေ ချိုင့်	jei gyain.
ရေချိုး	ရေ ချိုး	jei chou:
ရေချိုးဆိပ်	ရေ ချိုး ဆိပ်	jei chou: zei'
ရေခြားမြေခြား	ရေ ခြား မြေ ခြား	jei gya: mjei gya:
ရေခွက်	ရေ ခွက်	jei gwe'
ရေခွန်	ရေ ခွန်	jei gun
ရေငင်	ရေ ငင်	jein gin
ရေငတ်	ရေ ငတ်	jein ga'
ရေငန်	ရေ ငန်	jein gan
ရေငုပ်	ရေ ငုပ်	jein gou'
ရေငုပ်ဝတ်စုံ	ရေ ငုပ် ဝတ် စုံ	jein gou' wu' soun
ရေငုပ်သမား	ရေ ငုပ် သ မား	jein gou' dha ma:
ရေငုပ်သင်္ဘော	ရေ ငုပ် သင် ဘော	jein gou' thin: bo:
ရေငုံနေ	ရေ ငုံ နေ	jein goun nei
ရေငွေ့	ရေ ငွေ့	jein gwei.
ရေစက်	ရေ စက်	jei ze'
ရေစက်ကုန်	ရေ စက် ကုန်	jei ze' koun
ရေစက်ချ	ရေ စက် ချ	jei ze' cha.
